Device Name,IP Address,MAC Address,Type,Category,Location,Notes
HL_CAM4-80482CA38A7D,10.0.1.162,80:48:2c:a3:8a:7d,Camera,Security,Austin,HL Camera
WYZE_CAKP2JFUS-D03F271C5108,10.0.1.115,d0:3f:27:1c:51:08,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F271C4ED5,10.0.1.234,d0:3f:27:1c:4e:d5,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F271C5322,10.0.1.116,d0:3f:27:1c:53:22,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F271C3107,10.0.1.16,d0:3f:27:1c:31:07,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F27198CF4,10.0.1.186,d0:3f:27:19:8c:f4,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F271C30A8,10.0.1.65,d0:3f:27:1c:30:a8,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F271C3154,10.0.1.93,d0:3f:27:1c:31:54,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F271C4733,10.0.1.34,d0:3f:27:1c:47:33,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F271C4B16,10.0.1.205,d0:3f:27:1c:4b:16,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F27198C38,10.0.1.246,d0:3f:27:19:8c:38,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F271C4B07,10.0.1.190,d0:3f:27:1c:4b:07,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F271C5315,10.0.1.105,d0:3f:27:1c:53:15,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F271C4758,10.0.1.71,d0:3f:27:1c:47:58,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F2718A065,10.0.1.107,d0:3f:27:18:a0:65,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F271BFE54,10.0.1.211,d0:3f:27:1b:fe:54,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F271C5354,10.0.1.166,d0:3f:27:1c:53:54,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F271C4AA0,10.0.1.230,d0:3f:27:1c:4a:a0,Camera,Security,Austin,Wyze Camera
WYZE_CAKP2JFUS-D03F27189D14,10.0.1.189,d0:3f:27:18:9d:14,Camera,Security,Austin,Wyze Camera
HL_CAM4-80482C5FBC28,10.0.1.206,80:48:2c:5f:bc:28,Camera,Security,Austin,HL Camera
KS200-10.0.1.131,10.0.1.131,a8:42:a1:75:fd:11,Smart Switch,Lighting,Austin,Kasa Smart Switch
KS200-10.0.1.216,10.0.1.216,a8:42:a1:75:fc:d6,Smart Switch,Lighting,Austin,Kasa Smart Switch
KS200-10.0.1.26,10.0.1.26,a8:42:a1:75:fa:f8,Smart Switch,Lighting,Austin,Kasa Smart Switch
KS200-10.0.1.108,10.0.1.108,a8:42:a1:75:f0:cc,Smart Switch,Lighting,Austin,Kasa Smart Switch
KS200-10.0.1.75,10.0.1.75,a8:42:a1:75:f1:3c,Smart Switch,Lighting,Austin,Kasa Smart Switch
KS200-10.0.1.104,10.0.1.104,a8:42:a1:75:e9:ed,Smart Switch,Lighting,Austin,Kasa Smart Switch
KS200-10.0.1.198,10.0.1.198,a8:42:a1:75:fc:c4,Smart Switch,Lighting,Austin,Kasa Smart Switch
KS200-10.0.1.201,10.0.1.201,a8:42:a1:75:c8:2f,Smart Switch,Lighting,Austin,Kasa Smart Switch
KS200-10.0.1.139,10.0.1.139,a8:42:a1:75:dc:eb,Smart Switch,Lighting,Austin,Kasa Smart Switch
KS200-10.0.1.64,10.0.1.64,a8:42:a1:75:c5:f6,Smart Switch,Lighting,Austin,Kasa Smart Switch
KS200-10.0.1.149,10.0.1.149,a8:42:a1:75:f0:f6,Smart Switch,Lighting,Austin,Kasa Smart Switch
KS200-10.0.1.84,10.0.1.84,a8:42:a1:75:cc:e5,Smart Switch,Lighting,Austin,Kasa Smart Switch
Tstat-D56CA8,10.0.1.254,48:a2:e6:d5:6c:a8,Thermostat,Climate,Austin,Smart Thermostat
Tstat-D56DD0,10.0.1.157,48:a2:e6:d5:6d:d0,Thermostat,Climate,Austin,Smart Thermostat
TeslaPW_GGLUHE,10.0.1.70,40:55:48:49:7b:41,Powerwall,Energy,Austin,Tesla Powerwall
Samsung-Refrigerator,10.0.1.233,50:fd:d5:7a:bd:47,Appliance,Kitchen,Austin,Samsung Smart Fridge
MyQ-4B4,10.0.1.182,0c:95:05:65:d1:b0,Garage Door,Security,Austin,MyQ Garage Controller
Living-Room,10.0.1.200,48:e1:5c:5f:bc:02,Media Player,Entertainment,Austin,Apple TV or similar
GEMODULEF7B0,10.0.1.140,fc:b9:7e:1b:f7:b0,Smart Device,Unknown,Austin,GE Smart Module
GEMODULE6884,10.0.1.66,d8:28:c9:ff:e5:be,Smart Device,Unknown,Austin,GE Smart Module
GEMODULEF17C,10.0.1.218,fc:b9:7e:2d:f1:7c,Smart Device,Unknown,Austin,GE Smart Module
Black,10.0.1.150,f4:34:f0:63:e8:25,Apple TV,Entertainment,Austin,Apple TV Black
Blue,10.0.1.154,94:ea:32:87:06:a2,Apple TV,Entertainment,Austin,Apple TV Blue
Noras-iPad,10.0.1.86,ac:fd:ec:e8:c9:4b,Tablet,Mobile,Austin,Nora's iPad
Maeves-iPad-2,10.0.1.6,9c:04:eb:82:03:bc,Tablet,Mobile,Austin,Maeve's iPad 2
Maeves-iPad,10.0.1.114,56:21:48:2a:5d:83,Tablet,Mobile,Austin,Maeve's iPad
iPad-10.0.1.248,10.0.1.248,0a:b1:4d:83:54:e1,Tablet,Mobile,Austin,iPad
iPad-10.0.1.22,10.0.1.22,da:eb:6e:26:81:8e,Tablet,Mobile,Austin,iPad
Samsung,10.0.1.208,e0:9d:13:71:94:ee,TV,Entertainment,Austin,Samsung TV
Marvin,10.0.1.90,98:43:fa:05:b8:01,Server,IT,Austin,HA Server
HANKA9,10.0.1.10,90:09:d0:89:ce:d1,Server,IT,Austin,HANKA9 Server
ANOUK,10.0.1.9,f4:6b:8c:c3:45:eb,Server,IT,Austin,Anouk Server
1V1A,10.0.1.99,48:21:0b:65:d0:5c,Server,IT,Austin,1V1A Server
Hanka,10.0.1.199,8c:85:90:0b:cd:2a,Computer,IT,Austin,Hanka Workstation
Watch,10.0.1.202,46:93:2f:2e:d0:bc,Watch,Mobile,Austin,Apple Watch
iPhone-10.0.1.133,10.0.1.133,86:5e:19:f6:19:19,Phone,Mobile,Austin,iPhone
iPhone-10.0.1.159,10.0.1.159,3e:c4:1f:29:a6:a4,Phone,Mobile,Austin,iPhone
iPhone-10.0.1.251,10.0.1.251,56:29:3b:19:e0:e2,Phone,Mobile,Austin,iPhone
iPhone-10.0.1.240,10.0.1.240,66:04:b3:09:da:c9,Phone,Mobile,Austin,iPhone
iPhone-10.0.1.58,10.0.1.58,7c:78:b2:ab:bd:b8,Phone,Mobile,Austin,iPhone
iPhone-10.0.1.20,10.0.1.20,12:c3:4c:89:0e:ae,Phone,Mobile,Austin,iPhone
iPhone-10.0.1.19,10.0.1.19,12:b6:68:e1:94:90,Phone,Mobile,Austin,iPhone
Unknown-10.0.1.73,10.0.1.73,d0:c9:07:28:04:3e,Unknown,Unknown,Austin,Unknown Device
Unknown-10.0.1.121,10.0.1.121,d8:c8:0c:1b:97:44,Unknown,Unknown,Austin,Unknown Device
Unknown-10.0.1.177,10.0.1.177,98:17:3c:8d:82:fe,Unknown,Unknown,Austin,Unknown Device
Unknown-10.0.1.181,10.0.1.181,98:17:3c:8d:a7:62,Unknown,Unknown,Austin,Unknown Device
Unknown-10.0.1.132,10.0.1.132,98:17:3c:8c:3a:f0,Unknown,Unknown,Austin,Unknown Device
wlan0-10.0.1.245,10.0.1.245,d8:1f:12:ee:6a:c7,Unknown,Unknown,Austin,Tuya Device
wlan0-10.0.1.47,10.0.1.47,d8:1f:12:a2:57:65,Unknown,Unknown,Austin,Tuya Device
wlan0-10.0.1.204,10.0.1.204,d8:1f:12:db:09:39,Unknown,Unknown,Austin,Tuya Device
wlan0-10.0.1.76,10.0.1.76,d8:1f:12:e4:52:42,Unknown,Unknown,Austin,Tuya Device
wlan0-10.0.1.91,10.0.1.91,d8:1f:12:a0:f9:2e,Unknown,Unknown,Austin,Tuya Device
